text,label,confidence,herb,symptom,topic
non-toxic remedy for nausea,disease_prediction,1.0,,nausea,
chyawanprash uses,herb_benefits,1.0,chyawanprash,,
medicinal properties of jeerakarishtam,herb_benefits,1.0,jeerakarishtam,,
natural cure for insomnia,disease_prediction,1.0,,insomnia,
herbal medicine perspective,general_info,1.0,,,herbal medicine
tintidika natural medicine,herb_benefits,1.0,tintidika,,
health benefits of dadimashtaka churna,herb_benefits,1.0,dadimashtaka churna,,
philosophy of digestion,general_info,1.0,,,digestion
diagnosis of vomiting,disease_prediction,1.0,,vomiting,
properties of gulakanda,herb_benefits,1.0,gulakanda,,
therapeutic applications of nagadanti,herb_benefits,1.0,nagadanti,,
narayana thailam for health improvement,herb_benefits,1.0,narayana thailam,,
fundamentals of circulation,general_info,1.0,,,circulation
bacopa for natural treatment,herb_benefits,1.0,bacopa,,
importance of energy,general_info,1.0,,,energy
herbal medicine principles,general_info,1.0,,,herbal medicine
controlling motion sickness,disease_prediction,1.0,,motion sickness,
kakoli effects,herb_benefits,1.0,kakoli,,
why use shigru,herb_benefits,1.0,shigru,,
natural cure for motion sickness,disease_prediction,1.0,,motion sickness,
principles of natural healing,general_info,1.0,,,natural healing
pranayama philosophy,general_info,1.0,,,pranayama
how does panchakarma work,general_info,1.0,,,panchakarma
detoxification concepts,general_info,1.0,,,detoxification
therapeutic value of matulunga,herb_benefits,1.0,matulunga,,
uses of chakragaja,herb_benefits,1.0,chakragaja,,
benefits of prakriti,general_info,1.0,,,prakriti
non-toxic remedy for stomach ache,disease_prediction,1.0,,stomach ache,
rasnairandadi kwath nutritional benefits,herb_benefits,1.0,rasnairandadi kwath,,
principles of panchamahabhutas,general_info,1.0,,,panchamahabhutas
karmaranga natural medicine,herb_benefits,1.0,karmaranga,,
guide to agni,general_info,1.0,,,agni
information about srotas,general_info,1.0,,,srotas
snuhi ksheera for natural healing,herb_benefits,1.0,snuhi ksheera,,
ancient uses of hajrul yahood bhasma,herb_benefits,1.0,hajrul yahood bhasma,,
constant fatigue,disease_prediction,1.0,,fatigue,
medicinal properties of jeerakarishtam,herb_benefits,1.0,jeerakarishtam,,
tell me about srotas,general_info,1.0,,,srotas
examining prabhava,general_info,1.0,,,prabhava
define kapha,general_info,1.0,,,kapha
recovering from allergies,disease_prediction,1.0,,allergies,
immunity wisdom,general_info,1.0,,,immunity
arjunarishta remedy uses,herb_benefits,1.0,arjunarishta,,
non-toxic remedy for cough,disease_prediction,1.0,,cough,
herbal medicine for mood swings,disease_prediction,1.0,,mood swings,
natural healing wisdom,general_info,1.0,,,natural healing
panna pishti for wellness,herb_benefits,1.0,panna pishti,,
shirodhara approach,general_info,1.0,,,shirodhara
therapeutic value of vidari,herb_benefits,1.0,vidari,,
fundamentals of tejas,general_info,1.0,,,tejas
vata tradition,general_info,1.0,,,vata
kulathadi kwath therapeutic benefits,herb_benefits,1.0,kulathadi kwath,,
virya philosophy,general_info,1.0,,,virya
quick relief from dry eyes,disease_prediction,1.0,,dry eyes,
srotas perspective,general_info,1.0,,,srotas
therapeutic effects of kumbhika,herb_benefits,1.0,kumbhika,,
severe sneezing,disease_prediction,1.0,,sneezing,
therapeutic applications of aivana,herb_benefits,1.0,aivana,,
giloy satva benefits,herb_benefits,1.0,giloy satva,,
srotas principles,general_info,1.0,,,srotas
akika pishti therapeutic benefits,herb_benefits,1.0,akika pishti,,
I'm suffering from skin rash,disease_prediction,1.0,,skin rash,
tell me about kakoli,herb_benefits,1.0,kakoli,,
natural benefits of ingudi,herb_benefits,1.0,ingudi,,
saptaparna natural medicine,herb_benefits,1.0,saptaparna,,
nutrition viewpoint,general_info,1.0,,,nutrition
temperament explained,general_info,1.0,,,temperament
yoga basics,general_info,1.0,,,yoga
remedy for cough,disease_prediction,1.0,,cough,
energy system,general_info,1.0,,,energy
holistic treatment for ear pain,disease_prediction,1.0,,ear pain,
nimba beeja natural medicine,herb_benefits,1.0,nimba beeja,,
healing power of lakshadi thailam,herb_benefits,1.0,lakshadi thailam,,
I have bruising,disease_prediction,1.0,,bruising,
remedy for gas,disease_prediction,1.0,,gas,
ayurvedic benefits of gotu kola,herb_benefits,1.0,gotu kola,,
philosophy of basti,general_info,1.0,,,basti
karanja taila natural medicine,herb_benefits,1.0,karanja taila,,
reducing psoriasis,disease_prediction,1.0,,psoriasis,
help with ear pain,disease_prediction,1.0,,ear pain,
I have indigestion,disease_prediction,1.0,,indigestion,
kushtha nutritional benefits,herb_benefits,1.0,kushtha,,
introduction to rasa,general_info,1.0,,,rasa
badama taila in herbal medicine,herb_benefits,1.0,badama taila,,
detoxification basics,general_info,1.0,,,detoxification
treatment for brain fog,disease_prediction,1.0,,brain fog,
dhatus knowledge,general_info,1.0,,,dhatus
medicine for allergies,disease_prediction,1.0,,allergies,
preventive medicine perspective,general_info,1.0,,,preventive medicine
what are the principles of srotas,general_info,1.0,,,srotas
what causes wounds,disease_prediction,1.0,,wounds,
intermittent sneezing,disease_prediction,1.0,,sneezing,
natural treatments for cuts,disease_prediction,1.0,,cuts,
vatsanabha in traditional medicine,herb_benefits,1.0,vatsanabha,,
detoxification viewpoint,general_info,1.0,,,detoxification
understanding cleansing,general_info,1.0,,,cleansing
advantages of changeri,herb_benefits,1.0,changeri,,
fundamentals of detoxification,general_info,1.0,,,detoxification
exploring traditional medicine,general_info,1.0,,,traditional medicine
healing wounds,disease_prediction,1.0,,wounds,
srotas science,general_info,1.0,,,srotas
info about shirodhara,general_info,1.0,,,shirodhara
centella for health,herb_benefits,1.0,centella,,
recovering from motion sickness,disease_prediction,1.0,,motion sickness,
discovering temperament,general_info,1.0,,,temperament
health benefits of ashokarishta,herb_benefits,1.0,ashokarishta,,
basti explained,general_info,1.0,,,basti
suryavarta benefits,herb_benefits,1.0,suryavarta,,
investigating pitta,general_info,1.0,,,pitta
karpas-asthyadi thailam effects,herb_benefits,1.0,karpas-asthyadi thailam,,
medicinal properties of kalamba,herb_benefits,1.0,kalamba,,
herbal medicine for mood swings,disease_prediction,1.0,,mood swings,
understand srotas,general_info,1.0,,,srotas
arjunarishta in herbal medicine,herb_benefits,1.0,arjunarishta,,
what is shirodhara,general_info,1.0,,,shirodhara
origin of energy,general_info,1.0,,,energy
learn about panchakarma,general_info,1.0,,,panchakarma
define prabhava,general_info,1.0,,,prabhava
philosophy of ama,general_info,1.0,,,ama
information about prapunnada,herb_benefits,1.0,prapunnada,,
holistic treatment for motion sickness,disease_prediction,1.0,,motion sickness,
dosha understanding,general_info,1.0,,,dosha
researching pranayama,general_info,1.0,,,pranayama
hijal healing properties,herb_benefits,1.0,hijal,,
advantages of panasa,herb_benefits,1.0,panasa,,
herbal medicine perspective,general_info,1.0,,,herbal medicine
basics of preventive medicine,general_info,1.0,,,preventive medicine
what causes muscle pain,disease_prediction,1.0,,muscle pain,
researching body type,general_info,1.0,,,body type
discovering alternative medicine,general_info,1.0,,,alternative medicine
remedy for weakness,disease_prediction,1.0,,weakness,
constant vertigo,disease_prediction,1.0,,vertigo,
surana for natural treatment,herb_benefits,1.0,surana,,
jambu in herbal medicine,herb_benefits,1.0,jambu,,
define basti,general_info,1.0,,,basti
therapeutic applications of nagadanti,herb_benefits,1.0,nagadanti,,
how does temperament work,general_info,1.0,,,temperament
studying ayurveda,general_info,1.0,,,ayurveda
back pain symptoms,disease_prediction,1.0,,back pain,
what does dhanadanayanadi kashayam do,herb_benefits,1.0,dhanadanayanadi kashayam,,
reducing sleep disorders,disease_prediction,1.0,,sleep disorders,
ambasthaki properties,herb_benefits,1.0,ambasthaki,,
health benefits of kalyanaka ghrita,herb_benefits,1.0,kalyanaka ghrita,,
benefits of natural healing,general_info,1.0,,,natural healing
permanent cure for bronchitis,disease_prediction,1.0,,bronchitis,
role of abhyanga,general_info,1.0,,,abhyanga
benefits of gunas,general_info,1.0,,,gunas
manjisthadi kwath medicinal uses,herb_benefits,1.0,manjisthadi kwath,,
philosophy of digestion,general_info,1.0,,,digestion
why use makoy,herb_benefits,1.0,makoy,,
having inflammation,disease_prediction,1.0,,inflammation,
exploring natural healing,general_info,1.0,,,natural healing
origin of metabolism,general_info,1.0,,,metabolism
best medicine for stomach ache,disease_prediction,1.0,,stomach ache,
relief from dry skin,disease_prediction,1.0,,dry skin,
irregular periods treatment,disease_prediction,1.0,,irregular periods,
meditation science,general_info,1.0,,,meditation
dhattura beeja for natural treatment,herb_benefits,1.0,dhattura beeja,,
having weakness,disease_prediction,1.0,,weakness,
overview of immunity,general_info,1.0,,,immunity
I feel headache,disease_prediction,1.0,,headache,
understand immunity,general_info,1.0,,,immunity
runny nose treatment,disease_prediction,1.0,,runny nose,
vaikranta bhasma for health improvement,herb_benefits,1.0,vaikranta bhasma,,
healing dizziness,disease_prediction,1.0,,dizziness,
changeri ghrita for natural treatment,herb_benefits,1.0,changeri ghrita,,
basti understanding,general_info,1.0,,,basti
history of energy,general_info,1.0,,,energy
tejas basics,general_info,1.0,,,tejas
kantakari for natural healing,herb_benefits,1.0,kantakari,,
mild vertigo,disease_prediction,1.0,,vertigo,
wellness wisdom,general_info,1.0,,,wellness
symptoms of ear pain,disease_prediction,1.0,,ear pain,
how to use varahikanda,herb_benefits,1.0,varahikanda,,
prabhava practice,general_info,1.0,,,prabhava
saptadhatu theory,general_info,1.0,,,saptadhatu
sinusitis symptoms,disease_prediction,1.0,,sinusitis,
benefits of balance,general_info,1.0,,,balance
uses of navayasa loha,herb_benefits,1.0,navayasa loha,,
what's herbal medicine,general_info,1.0,,,herbal medicine
best medicine for mood swings,disease_prediction,1.0,,mood swings,
overview of pitta,general_info,1.0,,,pitta
non-toxic remedy for stomach ache,disease_prediction,1.0,,stomach ache,
therapeutic value of methi,herb_benefits,1.0,methi,,
how does agni work,general_info,1.0,,,agni
therapeutic applications of eranda,herb_benefits,1.0,eranda,,
mahasudarshan churna for health,herb_benefits,1.0,mahasudarshan churna,,
traditional medicine knowledge,general_info,1.0,,,traditional medicine
reducing hypertension,disease_prediction,1.0,,hypertension,
dosha explained,general_info,1.0,,,dosha
ayurvedic advantages of dhanwantaram thailam,herb_benefits,1.0,dhanwantaram thailam,,
benefits and uses of vidangarishta,herb_benefits,1.0,vidangarishta,,
herbal medicine for muscle pain,disease_prediction,1.0,,muscle pain,
investigating panchakarma,general_info,1.0,,,panchakarma
how to treat hot flashes,disease_prediction,1.0,,hot flashes,
kutajarishta nutritional benefits,herb_benefits,1.0,kutajarishta,,
I'm experiencing eye strain,disease_prediction,1.0,,eye strain,
ancient uses of aragvadhadi kwath,herb_benefits,1.0,aragvadhadi kwath,,
origin of detoxification,general_info,1.0,,,detoxification
energy system,general_info,1.0,,,energy
dry eyes symptoms,disease_prediction,1.0,,dry eyes,
what's preventive medicine,general_info,1.0,,,preventive medicine
guide to basti,general_info,1.0,,,basti
learning balance,general_info,1.0,,,balance
pattanga health effects,herb_benefits,1.0,pattanga,,
overcoming anxiety,disease_prediction,1.0,,anxiety,
science behind wellness,general_info,1.0,,,wellness
benefits of rasa,general_info,1.0,,,rasa
punarnava natural medicine,herb_benefits,1.0,punarnava,,
what is wellness,general_info,1.0,,,wellness
reducing hearing problems,disease_prediction,1.0,,hearing problems,
what makes kushmanda avaleha beneficial,herb_benefits,1.0,kushmanda avaleha,,
what can dhanwantaram gutika treat,herb_benefits,1.0,dhanwantaram gutika,,
vikriti tradition,general_info,1.0,,,vikriti
diagnosis of chest pain,disease_prediction,1.0,,chest pain,
healing power of vetasa,herb_benefits,1.0,vetasa,,
alternative medicine for bruising,disease_prediction,1.0,,bruising,
persistent asthma,disease_prediction,1.0,,asthma,
guide to healthy lifestyle,general_info,1.0,,,healthy lifestyle
history of prana,general_info,1.0,,,prana
kurabaka natural medicine,herb_benefits,1.0,kurabaka,,
vidaryadi kashayam for health,herb_benefits,1.0,vidaryadi kashayam,,
ama science,general_info,1.0,,,ama
what are the principles of shadrasas,general_info,1.0,,,shadrasas
exploring traditional medicine,general_info,1.0,,,traditional medicine
shirodhara principles,general_info,1.0,,,shirodhara
chopchini remedy uses,herb_benefits,1.0,chopchini,,
panchamahabhutas viewpoint,general_info,1.0,,,panchamahabhutas
bacopa therapeutic benefits,herb_benefits,1.0,bacopa,,
how to use sukumara kashayam,herb_benefits,1.0,sukumara kashayam,,
healing power of fennel,herb_benefits,1.0,fennel,,
virechana understanding,general_info,1.0,,,virechana
natural cure for hot flashes,disease_prediction,1.0,,hot flashes,
alternative medicine for night sweats,disease_prediction,1.0,,night sweats,
advantages of kumbhika,herb_benefits,1.0,kumbhika,,
dealing with strains,disease_prediction,1.0,,strains,
learn about panchakarma,general_info,1.0,,,panchakarma
managing sprains,disease_prediction,1.0,,sprains,
what does chitrakadi vati do,herb_benefits,1.0,chitrakadi vati,,
preventing mood swings,disease_prediction,1.0,,mood swings,
dealing with strains,disease_prediction,1.0,,strains,
quick relief from vomiting,disease_prediction,1.0,,vomiting,
cure for bloating,disease_prediction,1.0,,bloating,
natural benefits of jatyadi taila,herb_benefits,1.0,jatyadi taila,,
natural cure for motion sickness,disease_prediction,1.0,,motion sickness,
how to treat oily skin,disease_prediction,1.0,,oily skin,
what makes gambhari phala beneficial,herb_benefits,1.0,gambhari phala,,
explain rasa,general_info,1.0,,,rasa
remedy for asthma,disease_prediction,1.0,,asthma,
dhattura beeja for natural treatment,herb_benefits,1.0,dhattura beeja,,
exploring dhatus,general_info,1.0,,,dhatus
what are the benefits of shankha vati,herb_benefits,1.0,shankha vati,,
how can kharbhuja help,herb_benefits,1.0,kharbhuja,,
persistent asthma,disease_prediction,1.0,,asthma,
constant hair loss,disease_prediction,1.0,,hair loss,
how to use bhanga,herb_benefits,1.0,bhanga,,
kanmad bhasma nutritional benefits,herb_benefits,1.0,kanmad bhasma,,
snuhi ksheera for natural healing,herb_benefits,1.0,snuhi ksheera,,
controlling tinnitus,disease_prediction,1.0,,tinnitus,
introduction to pitta,general_info,1.0,,,pitta
meditation methodology,general_info,1.0,,,meditation
what causes heartburn,disease_prediction,1.0,,heartburn,
kembuka healing properties,herb_benefits,1.0,kembuka,,
traditional uses of phala ghrita,herb_benefits,1.0,phala ghrita,,
khadiradi vati medicinal uses,herb_benefits,1.0,khadiradi vati,,
help with ear pain,disease_prediction,1.0,,ear pain,
benefits and uses of nimbadi churna,herb_benefits,1.0,nimbadi churna,,
medicinal effects of tumburu,herb_benefits,1.0,tumburu,,
explain circulation,general_info,1.0,,,circulation
rasa fundamentals,general_info,1.0,,,rasa
basics of gunas,general_info,1.0,,,gunas
what causes diabetes,disease_prediction,1.0,,diabetes,
detoxification principles,general_info,1.0,,,detoxification
what makes neelam pishti beneficial,herb_benefits,1.0,neelam pishti,,
researching virechana,general_info,1.0,,,virechana
dealing with mood swings,disease_prediction,1.0,,mood swings,
healing fatigue,disease_prediction,1.0,,fatigue,
information about saptadhatu,general_info,1.0,,,saptadhatu
what are the principles of srotas,general_info,1.0,,,srotas
ancient applications of ananta mool,herb_benefits,1.0,ananta mool,,
what are the benefits of chakramarda,herb_benefits,1.0,chakramarda,,
dealing with blurred vision,disease_prediction,1.0,,blurred vision,
medicinal applications of somaraji taila,herb_benefits,1.0,somaraji taila,,
therapeutic effects of aloe vera,herb_benefits,1.0,aloe vera,,
prativisha benefits,herb_benefits,1.0,prativisha,,
controlling restless legs,disease_prediction,1.0,,restless legs,
cure for bloating,disease_prediction,1.0,,bloating,
how to use masha,herb_benefits,1.0,masha,,
history of meditation,general_info,1.0,,,meditation
prabhava system,general_info,1.0,,,prabhava
history of circulation,general_info,1.0,,,circulation
recovering from fatigue,disease_prediction,1.0,,fatigue,
preventing sinusitis,disease_prediction,1.0,,sinusitis,
treatment for chronic fatigue,disease_prediction,1.0,,chronic fatigue,
healing oily skin,disease_prediction,1.0,,oily skin,
what is prabhava,general_info,1.0,,,prabhava
philosophy of rasa,general_info,1.0,,,rasa
discovering detoxification,general_info,1.0,,,detoxification
info about nasya,general_info,1.0,,,nasya
advantages of ashoka ghrita,herb_benefits,1.0,ashoka ghrita,,
advantages of mahakalyanaka ghritam,herb_benefits,1.0,mahakalyanaka ghritam,,
abhyanga theory,general_info,1.0,,,abhyanga
marichyadi vati remedy uses,herb_benefits,1.0,marichyadi vati,,
best medicine for acne,disease_prediction,1.0,,acne,
virya philosophy,general_info,1.0,,,virya
krimighna vati nutritional benefits,herb_benefits,1.0,krimighna vati,,
what is karnikara good for,herb_benefits,1.0,karnikara,,
harmony theory,general_info,1.0,,,harmony
intermittent stress,disease_prediction,1.0,,stress,
non-toxic remedy for stomach ache,disease_prediction,1.0,,stomach ache,
srotas methodology,general_info,1.0,,,srotas
panchamahabhutas basics,general_info,1.0,,,panchamahabhutas
recovering from stomach ache,disease_prediction,1.0,,stomach ache,
suranjana for natural treatment,herb_benefits,1.0,suranjana,,
researching yoga,general_info,1.0,,,yoga
best medicine for sleep apnea,disease_prediction,1.0,,sleep apnea,
learn about energy,general_info,1.0,,,energy
basti understanding,general_info,1.0,,,basti
overview of srotas,general_info,1.0,,,srotas
herbal medicine for chronic fatigue,disease_prediction,1.0,,chronic fatigue,
utpala medicinal uses,herb_benefits,1.0,utpala,,
reducing tinnitus,disease_prediction,1.0,,tinnitus,
kusumbha benefits,herb_benefits,1.0,kusumbha,,
uses of vrihi,herb_benefits,1.0,vrihi,,
itching treatment,disease_prediction,1.0,,itching,
non-toxic remedy for wounds,disease_prediction,1.0,,wounds,
balance viewpoint,general_info,1.0,,,balance
examining holistic health,general_info,1.0,,,holistic health
vajra bhasma for natural treatment,herb_benefits,1.0,vajra bhasma,,
severe dandruff,disease_prediction,1.0,,dandruff,
therapeutic applications of vriddhi,herb_benefits,1.0,vriddhi,,
gambhari phala therapeutic benefits,herb_benefits,1.0,gambhari phala,,
exploring pitta,general_info,1.0,,,pitta
severe depression,disease_prediction,1.0,,depression,
bhadra medicinal uses,herb_benefits,1.0,bhadra,,
temperament practice,general_info,1.0,,,temperament
what is body type,general_info,1.0,,,body type
remedy for weakness,disease_prediction,1.0,,weakness,
recurring eczema,disease_prediction,1.0,,eczema,
medicinal value of snuhi ksheera,herb_benefits,1.0,snuhi ksheera,,
understanding meditation,general_info,1.0,,,meditation
back pain symptoms,disease_prediction,1.0,,back pain,
treatment for heartburn,disease_prediction,1.0,,heartburn,
preventing sore throat,disease_prediction,1.0,,sore throat,
virechana wisdom,general_info,1.0,,,virechana
significance of abhyanga,general_info,1.0,,,abhyanga
basics of malas,general_info,1.0,,,malas
tell me about patala,herb_benefits,1.0,patala,,
vasant kusumakar rasa therapeutic benefits,herb_benefits,1.0,vasant kusumakar rasa,,
bhurja for wellness,herb_benefits,1.0,bhurja,,
controlling restless legs,disease_prediction,1.0,,restless legs,
how does tridosha work,general_info,1.0,,,tridosha
lakshadi thailam wellness benefits,herb_benefits,1.0,lakshadi thailam,,
saptaparna in traditional medicine,herb_benefits,1.0,saptaparna,,
benefits and applications of kanmad bhasma,herb_benefits,1.0,kanmad bhasma,,
how can kalyanaka ghrita help,herb_benefits,1.0,kalyanaka ghrita,,
traditional uses of chakragaja,herb_benefits,1.0,chakragaja,,
symptoms of dizziness,disease_prediction,1.0,,dizziness,
how to treat sinusitis,disease_prediction,1.0,,sinusitis,
gambhari for holistic health,herb_benefits,1.0,gambhari,,
alleviating hypertension,disease_prediction,1.0,,hypertension,
tejas perspective,general_info,1.0,,,tejas
I feel depression,disease_prediction,1.0,,depression,
origin of kapha,general_info,1.0,,,kapha
natural treatments for bruising,disease_prediction,1.0,,bruising,
ayurvedic treatment for insomnia,disease_prediction,1.0,,insomnia,
basti understanding,general_info,1.0,,,basti
cuts treatment,disease_prediction,1.0,,cuts,
bhutika healing properties,herb_benefits,1.0,bhutika,,
how does varshabhu help,herb_benefits,1.0,varshabhu,,
trimala theory,general_info,1.0,,,trimala
what's kshirabala thailam good for,herb_benefits,1.0,kshirabala thailam,,
persistent migraine,disease_prediction,1.0,,migraine,
tridosha knowledge,general_info,1.0,,,tridosha
introduction to wellness,general_info,1.0,,,wellness
significance of tejas,general_info,1.0,,,tejas
significance of detoxification,general_info,1.0,,,detoxification
non-toxic remedy for sneezing,disease_prediction,1.0,,sneezing,
natural treatment for oily skin,disease_prediction,1.0,,oily skin,
health benefits of kanchanara guggulu,herb_benefits,1.0,kanchanara guggulu,,
philosophy of virechana,general_info,1.0,,,virechana
basics of panchakarma,general_info,1.0,,,panchakarma
diagnosis of low energy,disease_prediction,1.0,,low energy,
trivrit healing properties,herb_benefits,1.0,trivrit,,
virechana theory,general_info,1.0,,,virechana
understanding rasa,general_info,1.0,,,rasa
history of balance,general_info,1.0,,,balance
therapeutic effects of satyanashi,herb_benefits,1.0,satyanashi,,
alabu for natural treatment,herb_benefits,1.0,alabu,,
constant hair loss,disease_prediction,1.0,,hair loss,
medicinal applications of kutaj,herb_benefits,1.0,kutaj,,
natural cure for hot flashes,disease_prediction,1.0,,hot flashes,
recurring heartburn,disease_prediction,1.0,,heartburn,
alternative medicine perspective,general_info,1.0,,,alternative medicine
kasis bhasma for wellness,herb_benefits,1.0,kasis bhasma,,
natural treatment for wounds,disease_prediction,1.0,,wounds,
help with snoring,disease_prediction,1.0,,snoring,
why is vyaghri haritaki healthy,herb_benefits,1.0,vyaghri haritaki,,
karvellaka for health improvement,herb_benefits,1.0,karvellaka,,
benefits and applications of vriddhi,herb_benefits,1.0,vriddhi,,
examining immunity,general_info,1.0,,,immunity
science behind herbal medicine,general_info,1.0,,,herbal medicine
history of saptadhatu,general_info,1.0,,,saptadhatu
amra haridra for health improvement,herb_benefits,1.0,amra haridra,,
natural healing approach,general_info,1.0,,,natural healing
kottamchukkadi thailam natural medicine,herb_benefits,1.0,kottamchukkadi thailam,,
intermittent wounds,disease_prediction,1.0,,wounds,
recurring cramps,disease_prediction,1.0,,cramps,
health benefits of ashwattha,herb_benefits,1.0,ashwattha,,
gandharvahastadi kashayam medicinal uses,herb_benefits,1.0,gandharvahastadi kashayam,,
natural benefits of udumbara,herb_benefits,1.0,udumbara,,
why use varahikanda,herb_benefits,1.0,varahikanda,,
ayurvedic treatment for memory problems,disease_prediction,1.0,,memory problems,
relief from snoring,disease_prediction,1.0,,snoring,
how to use bhanga,herb_benefits,1.0,bhanga,,
abdominal pain symptoms,disease_prediction,1.0,,abdominal pain,
lakshadi thailam wellness benefits,herb_benefits,1.0,lakshadi thailam,,
what is shigru good for,herb_benefits,1.0,shigru,,
best medicine for ear pain,disease_prediction,1.0,,ear pain,
renuka medicinal uses,herb_benefits,1.0,renuka,,
examining prabhava,general_info,1.0,,,prabhava
significance of ojas,general_info,1.0,,,ojas
understand srotas,general_info,1.0,,,srotas
discovering prana,general_info,1.0,,,prana
constant memory problems,disease_prediction,1.0,,memory problems,
ayurvedic benefits of shalparni,herb_benefits,1.0,shalparni,,
health properties of satavari ghrita,herb_benefits,1.0,satavari ghrita,,
gorakhmundi natural medicine,herb_benefits,1.0,gorakhmundi,,
role of alternative medicine,general_info,1.0,,,alternative medicine
traditional cure for cramps,disease_prediction,1.0,,cramps,
how does panchakarma work,general_info,1.0,,,panchakarma
mahishi dugdha for natural healing,herb_benefits,1.0,mahishi dugdha,,
dosha principles,general_info,1.0,,,dosha
health properties of icchabhedi rasa,herb_benefits,1.0,icchabhedi rasa,,
karanja health effects,herb_benefits,1.0,karanja,,
jatyadi ghrita health effects,herb_benefits,1.0,jatyadi ghrita,,
what are the principles of prabhava,general_info,1.0,,,prabhava
what makes fenugreek beneficial,herb_benefits,1.0,fenugreek,,
importance of nasya,general_info,1.0,,,nasya
persistent cuts,disease_prediction,1.0,,cuts,
severe gastritis,disease_prediction,1.0,,gastritis,
information about dhatus,general_info,1.0,,,dhatus
controlling sinusitis,disease_prediction,1.0,,sinusitis,
information about suranjana,herb_benefits,1.0,suranjana,,
intermittent low energy,disease_prediction,1.0,,low energy,
fundamentals of balance,general_info,1.0,,,balance
uses of chakragaja,herb_benefits,1.0,chakragaja,,
permanent cure for bruising,disease_prediction,1.0,,bruising,
introduction to temperament,general_info,1.0,,,temperament
utingana health effects,herb_benefits,1.0,utingana,,
intermittent skin rash,disease_prediction,1.0,,skin rash,
permanent cure for hot flashes,disease_prediction,1.0,,hot flashes,
importance of mind-body connection,general_info,1.0,,,mind-body connection
introduction to body type,general_info,1.0,,,body type
mild abdominal pain,disease_prediction,1.0,,abdominal pain,
managing abdominal pain,disease_prediction,1.0,,abdominal pain,
safe treatment for joint pain,disease_prediction,1.0,,joint pain,
intermittent fatigue,disease_prediction,1.0,,fatigue,
importance of basti,general_info,1.0,,,basti
overview of harmony,general_info,1.0,,,harmony
how to treat menstrual cramps,disease_prediction,1.0,,menstrual cramps,
safe treatments for morning sickness,disease_prediction,1.0,,morning sickness,
why use shalparni,herb_benefits,1.0,shalparni,,
mild dandruff,disease_prediction,1.0,,dandruff,
tell me about himsra,herb_benefits,1.0,himsra,,
symptoms of brain fog,disease_prediction,1.0,,brain fog,
principles of body type,general_info,1.0,,,body type
relief from diabetes,disease_prediction,1.0,,diabetes,
managing sprains,disease_prediction,1.0,,sprains,
srotas understanding,general_info,1.0,,,srotas
what makes kukkutanda twak bhasma beneficial,herb_benefits,1.0,kukkutanda twak bhasma,,
arjunarishta remedy uses,herb_benefits,1.0,arjunarishta,,
fundamentals of meditation,general_info,1.0,,,meditation
treatment for strains,disease_prediction,1.0,,strains,
what can ishwari treat,herb_benefits,1.0,ishwari,,
nutrition theory,general_info,1.0,,,nutrition
persistent cuts,disease_prediction,1.0,,cuts,
ayurvedic advantages of utpala,herb_benefits,1.0,utpala,,
cure for asthma,disease_prediction,1.0,,asthma,
herbal properties of tila,herb_benefits,1.0,tila,,
preventing bloating,disease_prediction,1.0,,bloating,
why use putranjivaka,herb_benefits,1.0,putranjivaka,,
effective treatment for chronic fatigue,disease_prediction,1.0,,chronic fatigue,
healing low energy,disease_prediction,1.0,,low energy,
prabhava tradition,general_info,1.0,,,prabhava
guide to dhatus,general_info,1.0,,,dhatus
what is haridra good for,herb_benefits,1.0,haridra,,
kushtha nutritional benefits,herb_benefits,1.0,kushtha,,
treatment for strains,disease_prediction,1.0,,strains,
learning gunas,general_info,1.0,,,gunas
guide to pranayama,general_info,1.0,,,pranayama
importance of preventive medicine,general_info,1.0,,,preventive medicine
what makes neelam pishti beneficial,herb_benefits,1.0,neelam pishti,,
mild constipation,disease_prediction,1.0,,constipation,
quick relief from dry eyes,disease_prediction,1.0,,dry eyes,
traditional uses of babbula,herb_benefits,1.0,babbula,,
what're the benefits of draksharishta,herb_benefits,1.0,draksharishta,,
ayurvedic benefits of ghrita,herb_benefits,1.0,ghrita,,
remedy for fever,disease_prediction,1.0,,fever,
basics of traditional medicine,general_info,1.0,,,traditional medicine
kapikachhu for health improvement,herb_benefits,1.0,kapikachhu,,
digestion art,general_info,1.0,,,digestion
controlling motion sickness,disease_prediction,1.0,,motion sickness,
controlling heartburn,disease_prediction,1.0,,heartburn,
guide to prakriti,general_info,1.0,,,prakriti
tell me about tridosha,general_info,1.0,,,tridosha
what causes wounds,disease_prediction,1.0,,wounds,
recovering from stomach ache,disease_prediction,1.0,,stomach ache,
what are the benefits of chakramarda,herb_benefits,1.0,chakramarda,,
introduction to metabolism,general_info,1.0,,,metabolism
natural healing basics,general_info,1.0,,,natural healing
sarshapa taila healing properties,herb_benefits,1.0,sarshapa taila,,
ancient uses of shilajit,herb_benefits,1.0,shilajit,,
benefits of masha,herb_benefits,1.0,masha,,
constant hair loss,disease_prediction,1.0,,hair loss,
why use shunthi,herb_benefits,1.0,shunthi,,
ushira nutritional benefits,herb_benefits,1.0,ushira,,
why is vyaghri haritaki healthy,herb_benefits,1.0,vyaghri haritaki,,
recovering from sprains,disease_prediction,1.0,,sprains,
learning shirodhara,general_info,1.0,,,shirodhara
